ID, x, y, ux, uy, damage
390,-28.5,28.5,0,0,0
391,-28.5,29.5,0,5e-09,0
431,-27.5,13.5,0,0,0
432,-27.5,14.5,0,0,0
433,-27.5,15.5,0,0,0
434,-27.5,16.5,0,0,0
435,-27.5,17.5,0,0,0
436,-27.5,18.5,0,0,0
437,-27.5,19.5,0,0,0
438,-27.5,20.5,0,0,0
439,-27.5,21.5,0,0,0
440,-27.5,22.5,0,0,0
441,-27.5,23.5,0,0,0
442,-27.5,24.5,0,0,0
443,-27.5,25.5,0,0,0
444,-27.5,26.5,0,0,0
445,-27.5,27.5,0,0,0
446,-27.5,28.5,0,0,0
447,-27.5,29.5,0,5e-09,0
488,-26.5,14.5,0,0,0
489,-26.5,15.5,0,0,0
490,-26.5,16.5,0,0,0
491,-26.5,17.5,0,0,0
492,-26.5,18.5,0,0,0
493,-26.5,19.5,0,0,0
494,-26.5,20.5,0,0,0
495,-26.5,21.5,0,0,0
496,-26.5,22.5,0,0,0
497,-26.5,23.5,0,0,0
498,-26.5,24.5,0,0,0
499,-26.5,25.5,0,0,0
500,-26.5,26.5,0,0,0
501,-26.5,27.5,0,0,0
502,-26.5,28.5,0,0,0
503,-26.5,29.5,0,5e-09,0
544,-25.5,14.5,0,0,0
545,-25.5,15.5,0,0,0
546,-25.5,16.5,0,0,0
547,-25.5,17.5,0,0,0
548,-25.5,18.5,0,0,0
549,-25.5,19.5,0,0,0
550,-25.5,20.5,0,0,0
551,-25.5,21.5,0,0,0
552,-25.5,22.5,0,0,0
553,-25.5,23.5,0,0,0
554,-25.5,24.5,0,0,0
555,-25.5,25.5,0,0,0
556,-25.5,26.5,0,0,0
557,-25.5,27.5,0,0,0
558,-25.5,28.5,0,0,0
559,-25.5,29.5,0,5e-09,0
600,-24.5,14.5,0,0,0
601,-24.5,15.5,0,0,0
602,-24.5,16.5,0,0,0
603,-24.5,17.5,0,0,0
604,-24.5,18.5,0,0,0
605,-24.5,19.5,0,0,0
606,-24.5,20.5,0,0,0
607,-24.5,21.5,0,0,0
608,-24.5,22.5,0,0,0
609,-24.5,23.5,0,0,0
610,-24.5,24.5,0,0,0
611,-24.5,25.5,0,0,0
612,-24.5,26.5,0,0,0
613,-24.5,27.5,0,0,0
614,-24.5,28.5,0,0,0
615,-24.5,29.5,0,5e-09,0
656,-23.5,14.5,0,0,0
657,-23.5,15.5,0,0,0
658,-23.5,16.5,0,0,0
659,-23.5,17.5,0,0,0
660,-23.5,18.5,0,0,0
661,-23.5,19.5,0,0,0
662,-23.5,20.5,0,0,0
663,-23.5,21.5,0,0,0
664,-23.5,22.5,0,0,0
665,-23.5,23.5,0,0,0
666,-23.5,24.5,0,0,0
667,-23.5,25.5,0,0,0
668,-23.5,26.5,0,0,0
669,-23.5,27.5,0,0,0
670,-23.5,28.5,0,0,0
671,-23.5,29.5,0,5e-09,0
713,-22.5,15.5,0,0,0
714,-22.5,16.5,0,0,0
715,-22.5,17.5,0,0,0
716,-22.5,18.5,0,0,0
717,-22.5,19.5,0,0,0
718,-22.5,20.5,0,0,0
719,-22.5,21.5,0,0,0
720,-22.5,22.5,0,0,0
721,-22.5,23.5,0,0,0
722,-22.5,24.5,0,0,0
723,-22.5,25.5,0,0,0
724,-22.5,26.5,0,0,0
725,-22.5,27.5,0,0,0
726,-22.5,28.5,0,0,0
727,-22.5,29.5,0,5e-09,0
769,-21.5,15.5,0,0,0
770,-21.5,16.5,0,0,0
771,-21.5,17.5,0,0,0
772,-21.5,18.5,0,0,0
773,-21.5,19.5,0,0,0
774,-21.5,20.5,0,0,0
775,-21.5,21.5,0,0,0
776,-21.5,22.5,0,0,0
777,-21.5,23.5,0,0,0
778,-21.5,24.5,0,0,0
779,-21.5,25.5,0,0,0
780,-21.5,26.5,0,0,0
781,-21.5,27.5,0,0,0
782,-21.5,28.5,0,0,0
783,-21.5,29.5,0,5e-09,0
825,-20.5,15.5,0,0,0
826,-20.5,16.5,0,0,0
827,-20.5,17.5,0,0,0
828,-20.5,18.5,0,0,0
829,-20.5,19.5,0,0,0
830,-20.5,20.5,0,0,0
831,-20.5,21.5,0,0,0
832,-20.5,22.5,0,0,0
833,-20.5,23.5,0,0,0
834,-20.5,24.5,0,0,0
835,-20.5,25.5,0,0,0
836,-20.5,26.5,0,0,0
837,-20.5,27.5,0,0,0
838,-20.5,28.5,0,0,0
839,-20.5,29.5,0,5e-09,0
881,-19.5,15.5,0,0,0
882,-19.5,16.5,0,0,0
883,-19.5,17.5,0,0,0
884,-19.5,18.5,0,0,0
885,-19.5,19.5,0,0,0
886,-19.5,20.5,0,0,0
887,-19.5,21.5,0,0,0
888,-19.5,22.5,0,0,0
889,-19.5,23.5,0,0,0
890,-19.5,24.5,0,0,0
891,-19.5,25.5,0,0,0
892,-19.5,26.5,0,0,0
893,-19.5,27.5,0,0,0
894,-19.5,28.5,0,0,0
895,-19.5,29.5,0,5e-09,0
937,-18.5,15.5,0,0,0
938,-18.5,16.5,0,0,0
939,-18.5,17.5,0,0,0
940,-18.5,18.5,0,0,0
941,-18.5,19.5,0,0,0
942,-18.5,20.5,0,0,0
943,-18.5,21.5,0,0,0
944,-18.5,22.5,0,0,0
945,-18.5,23.5,0,0,0
946,-18.5,24.5,0,0,0
947,-18.5,25.5,0,0,0
948,-18.5,26.5,0,0,0
949,-18.5,27.5,0,0,0
950,-18.5,28.5,0,0,0
951,-18.5,29.5,0,5e-09,0
998,-17.5,16.5,0,0,0
999,-17.5,17.5,0,0,0
1000,-17.5,18.5,0,0,0
1001,-17.5,19.5,0,0,0
1002,-17.5,20.5,0,0,0
1003,-17.5,21.5,0,0,0
1004,-17.5,22.5,0,0,0
1005,-17.5,23.5,0,0,0
1006,-17.5,24.5,0,0,0
1007,-17.5,25.5,0,0,0
1008,-17.5,26.5,0,0,0
1009,-17.5,27.5,0,0,0
1010,-17.5,28.5,0,0,0
1011,-17.5,29.5,0,5e-09,0
1058,-16.5,16.5,0,0,0
1059,-16.5,17.5,0,0,0
1060,-16.5,18.5,0,0,0
1061,-16.5,19.5,0,0,0
1062,-16.5,20.5,0,0,0
1063,-16.5,21.5,0,0,0
1064,-16.5,22.5,0,0,0
1065,-16.5,23.5,0,0,0
1066,-16.5,24.5,0,0,0
1067,-16.5,25.5,0,0,0
1068,-16.5,26.5,0,0,0
1069,-16.5,27.5,0,0,0
1070,-16.5,28.5,0,0,0
1071,-16.5,29.5,0,5e-09,0
1119,-15.5,17.5,0,0,0
1120,-15.5,18.5,0,0,0
1121,-15.5,19.5,0,0,0
1122,-15.5,20.5,0,0,0
1123,-15.5,21.5,0,0,0
1124,-15.5,22.5,0,0,0
1125,-15.5,23.5,0,0,0
1126,-15.5,24.5,0,0,0
1127,-15.5,25.5,0,0,0
1128,-15.5,26.5,0,0,0
1129,-15.5,27.5,0,0,0
1130,-15.5,28.5,0,0,0
1131,-15.5,29.5,0,5e-09,0
1179,-14.5,17.5,0,0,0
1180,-14.5,18.5,0,0,0
1181,-14.5,19.5,0,0,0
1182,-14.5,20.5,0,0,0
1183,-14.5,21.5,0,0,0
1184,-14.5,22.5,0,0,0
1185,-14.5,23.5,0,0,0
1186,-14.5,24.5,0,0,0
1187,-14.5,25.5,0,0,0
1188,-14.5,26.5,0,0,0
1189,-14.5,27.5,0,0,0
1190,-14.5,28.5,0,0,0
1191,-14.5,29.5,0,5e-09,0
28,-34.5,2.5,0,0,0
29,-34.5,3.5,0,0,0
30,-34.5,4.5,0,0,0
31,-34.5,5.5,0,0,0
32,-34.5,6.5,0,0,0
33,-34.5,7.5,0,0,0
34,-34.5,8.5,0,0,0
35,-34.5,9.5,0,0,0
36,-34.5,10.5,0,0,0
37,-34.5,11.5,0,0,0
38,-34.5,12.5,0,0,0
84,-33.5,2.5,0,0,0
85,-33.5,3.5,0,0,0
86,-33.5,4.5,0,0,0
87,-33.5,5.5,0,0,0
88,-33.5,6.5,0,0,0
89,-33.5,7.5,0,0,0
90,-33.5,8.5,0,0,0
91,-33.5,9.5,0,0,0
92,-33.5,10.5,0,0,0
93,-33.5,11.5,0,0,0
94,-33.5,12.5,0,0,0
140,-32.5,2.5,0,0,0
141,-32.5,3.5,0,0,0
142,-32.5,4.5,0,0,0
143,-32.5,5.5,0,0,0
144,-32.5,6.5,0,0,0
145,-32.5,7.5,0,0,0
146,-32.5,8.5,0,0,0
147,-32.5,9.5,0,0,0
148,-32.5,10.5,0,0,0
149,-32.5,11.5,0,0,0
150,-32.5,12.5,0,0,0
196,-31.5,2.5,0,0,0
197,-31.5,3.5,0,0,0
198,-31.5,4.5,0,0,0
199,-31.5,5.5,0,0,0
200,-31.5,6.5,0,0,0
201,-31.5,7.5,0,0,0
202,-31.5,8.5,0,0,0
203,-31.5,9.5,0,0,0
204,-31.5,10.5,0,0,0
205,-31.5,11.5,0,0,0
206,-31.5,12.5,0,0,0
252,-30.5,2.5,0,0,0
253,-30.5,3.5,0,0,0
254,-30.5,4.5,0,0,0
255,-30.5,5.5,0,0,0
256,-30.5,6.5,0,0,0
257,-30.5,7.5,0,0,0
258,-30.5,8.5,0,0,0
259,-30.5,9.5,0,0,0
260,-30.5,10.5,0,0,0
261,-30.5,11.5,0,0,0
262,-30.5,12.5,0,0,0
308,-29.5,2.5,0,0,0
309,-29.5,3.5,0,0,0
310,-29.5,4.5,0,0,0
311,-29.5,5.5,0,0,0
312,-29.5,6.5,0,0,0
313,-29.5,7.5,0,0,0
314,-29.5,8.5,0,0,0
315,-29.5,9.5,0,0,0
316,-29.5,10.5,0,0,0
317,-29.5,11.5,0,0,0
318,-29.5,12.5,0,0,0
364,-28.5,2.5,0,0,0
365,-28.5,3.5,0,0,0
366,-28.5,4.5,0,0,0
367,-28.5,5.5,0,0,0
368,-28.5,6.5,0,0,0
369,-28.5,7.5,0,0,0
370,-28.5,8.5,0,0,0
371,-28.5,9.5,0,0,0
